X	mb231e210g_0	mb231e264g_0	mb231e279g_0	mb231p2207g_1	mb231p2237Ag_1
KRTAP3-2	0	0	0	0	0
KRTAP3-3	0	0	0	0	0
KRTAP4-1	0	0	0	0	0
KRTAP4-16	0	0	0	0	0
KRTAP4-2	0	0	0	0	0
KRTAP4-6	0	0	0	0	0
KRTAP4-7	0	0	0	0	0
KRTAP4-8	0	0	0	0	0
KRTAP4-9	0	0	0	0	0
KRTAP5-1	0	0	0	0	0
KRTAP5-2	0	0	0	0	0
KRTAP5-3	0	0	0	0	0
KRTAP5-4	0	0	0	0	0
KRTAP5-5	0	0	0	0	0
KRTAP6-1	0	0	0	0	0
KRTAP6-2	0	0	0	0	0
KRTAP6-3	0	0	0	0	0
KRTAP7-1	0	0	0	0	0
KRTAP8-1	0	0	0	0	0
KRTAP9-1	0	0	0	0	0
KRTAP9-3	0	0	0	0	0
KRTCAP2	12	9	7	8	16
KRTCAP3	0	0	0	0	0
KRTDAP	0	0	0	0	0
KSR1	0	0	2	0	0
KSR2	0	0	0	0	0
KTI12	0	0	0	0	0
KTN1	25	21	10	11	22
KXD1	0	0	0	0	0
KY	0	0	0	0	0
KYAT1	0	0	0	0	1
KYAT3	0	0	0	0	0
KYNU	0	0	0	0	1
L1CAM	0	0	0	0	0
L1TD1	0	0	0	0	0
L2HGDH	0	0	0	0	0
L3HYPDH	0	0	0	0	0
L3MBTL1	0	0	0	0	0
L3MBTL2	0	2	3	2	0
L3MBTL3	0	0	2	0	1
L3MBTL4	0	0	0	0	0
LACC1	0	0	0	0	0
LACE1	2	1	2	1	2
LACTB	0	2	1	0	3
LACTB2	0	0	0	0	0
LACTBL1	0	0	0	0	0
LAD1	0	0	0	0	0
LAG3	0	0	0	0	0
LAGE3	0	0	0	0	0
LAIR1	0	0	0	0	0
LALBA	0	0	0	0	0
LAMA1	0	0	0	0	0
LAMA2	0	0	0	0	0
LAMA3	0	0	0	0	0
LAMA4	0	0	0	0	0
LAMA5	4	2	2	3	2
LAMB1	24	42	32	13	56
LAMB2	3	6	2	2	5
LAMB3	0	0	0	0	0
LAMC1	18	27	24	8	70
LAMC2	0	0	0	0	0
LAMC3	0	0	0	0	0
LAMP1	29	8	13	19	34
LAMP2	12	21	23	15	34
LAMP3	0	0	0	0	0
LAMP5	0	0	0	0	0
LAMTOR1	0	0	0	0	0
LAMTOR2	7	2	6	0	5
LAMTOR3	3	1	3	2	8
LAMTOR4	0	0	0	0	0
LAMTOR5	2	4	4	3	7
LANCL1	0	0	0	0	0
LANCL2	0	0	0	0	0
LANCL3	0	0	0	0	1
LAP3	0	0	1	1	1
LAPTM4A	124	66	89	50	176
LAPTM4B	0	0	0	0	0
LAPTM5	0	0	0	0	0
LARGE1	1	2	1	1	1
LARGE2	2	0	0	0	0
LARP1	22	37	46	16	77
LARP1B	0	0	2	0	1
LARP4	5	9	9	5	20
LARP4B	7	5	5	4	21
LARP6	0	0	0	0	0
LARP7	0	0	0	1	0
LARS	1	4	3	4	13
LARS2	0	0	0	0	0
LAS1L	13	15	11	5	23
LASP1	4	3	6	1	4
LAT	0	0	0	0	0
LAT2	0	0	0	0	0
LATS1	1	2	11	5	9
LATS2	1	0	3	0	5
LAX1	0	0	0	0	0
LAYN	0	0	0	0	0
LBH	2	1	0	0	0
LBHD1	0	0	0	0	0
LBP	0	0	0	0	0
LBR	0	0	0	0	0
LBX1	0	0	0	0	0
LBX2	0	0	0	0	0
LCA5	0	0	0	0	0
LCA5L	0	0	0	0	0
LCAT	0	0	0	0	1
LCE1B	0	0	0	0	0
LCE1C	0	0	0	0	0
LCE1D	0	0	0	0	0
LCE1E	0	0	0	0	0
LCE1F	0	0	0	0	0
LCE3A	0	0	0	0	0
LCE3B	0	0	0	0	0
LCE3C	0	0	0	0	0
LCE3D	0	0	0	0	0
LCE3E	0	0	0	0	0
LCE6A	0	0	0	0	0
LCK	0	0	0	0	0
LCLAT1	0	0	0	0	0
LCMT1	5	2	3	2	3
LCMT2	0	0	0	0	0
LCN10	0	0	0	0	0
LCN12	0	0	0	0	0
LCN2	0	0	0	0	0
LCN6	0	0	0	0	0
LCN8	0	0	0	0	0
LCN9	0	0	0	0	0
LCOR	4	10	21	11	28
LCORL	11	14	5	13	34
LCP1	0	0	1	0	0
LCP2	0	0	0	0	0
LCT	0	0	0	0	0
LCTL	0	0	0	0	0
LDAH	0	0	0	0	0
LDB1	181	125	123	101	196
LDB2	0	0	0	0	0
LDB3	1	1	0	0	0
LDHA	67	62	94	101	281
LDHAL6B	0	0	0	0	0
LDHB	0	0	0	0	0
LDHC	0	0	0	0	0
LDHD	0	0	0	0	0
LDLR	0	0	0	0	0
LDLRAD1	0	0	0	0	0
LDLRAD2	0	0	0	0	0
LDLRAD3	1	0	1	2	3
LDLRAD4	1	1	3	1	5
LDLRAP1	3	0	0	1	2
LDOC1	0	0	0	0	0
LDOC1L	0	0	0	0	0
LEAP2	0	0	0	0	0
LECT1	0	0	0	0	0
LECT2	0	0	0	0	0
LEF1	0	0	0	0	0
LEFTY1	0	0	0	0	0
LEFTY2	0	0	0	0	0
LEKR1	0	0	1	0	0
LELP1	0	0	0	0	0
LEMD1	0	0	0	0	0
LEMD2	0	0	1	0	2
LEMD3	5	5	4	7	13
LENEP	0	0	0	0	0
LENG1	0	0	1	0	1
LENG8	12	8	3	8	9
LENG9	0	0	0	0	0
LEO1	1	2	3	3	4
LEP	0	0	0	0	0
LEPR	0	0	0	0	0
LEPROT	0	0	0	0	0
LEPROTL1	0	0	0	0	0
LETM1	0	0	0	0	0
LETM2	0	0	0	0	0
LETMD1	0	0	0	0	0
LEXM	0	0	0	0	0
LFNG	0	0	0	0	0
LGALS1	9	6	9	9	19
LGALS12	0	0	0	0	0
LGALS2	0	0	0	0	0
LGALS3	8	2	2	4	13
LGALS3BP	0	0	0	0	0
LGALS4	0	0	0	0	0
LGALS7	0	0	0	0	0
LGALS8	0	0	0	0	0
LGALS9	0	0	0	0	0
LGALSL	2	4	2	1	7
LGI1	0	0	0	0	0
LGI2	0	0	0	0	1
LGI3	0	0	0	0	0
LGI4	0	0	0	0	0
LGMN	0	0	0	0	0
LGR4	0	0	3	0	2
LGR5	0	0	0	0	0
LGR6	0	2	0	0	1
LGSN	0	0	0	0	0
LHB	0	0	0	0	0
LHCGR	0	0	0	0	0
LHFP	33	17	27	14	34
LHFPL1	0	0	0	0	0
LHFPL2	0	0	0	0	1
LHFPL3	0	0	0	0	0
LHFPL4	0	0	0	0	0
LHFPL5	1	0	0	0	0
LHPP	0	0	0	0	0
LHX1	0	0	0	0	0
LHX2	0	0	0	0	0
LHX3	0	0	0	0	0
LHX4	0	0	0	0	0
LHX5	0	0	0	0	0
LHX6	1	1	2	0	3
LHX8	0	0	0	0	0
LHX9	0	0	0	0	0
LIAS	1	0	2	2	4
LIF	1	3	2	0	2
LIFR	0	0	0	0	0
LIG1	0	0	0	0	0
LIG3	3	5	4	3	9
LIG4	0	0	0	0	0
LILRA5	0	0	0	0	0
LILRA6	0	0	0	0	0
LIM2	0	0	0	0	0
LIMA1	0	0	0	0	0
LIMCH1	0	0	0	0	0
LIMD1	0	1	0	2	3
LIMD2	4	6	11	8	20
LIME1	0	0	0	0	0
LIMK1	1	3	0	1	6
LIMK2	16	9	20	7	28
LIMS1	0	0	0	0	0
LIMS2	0	0	1	0	1
LIN28A	0	0	0	0	0
LIN28B	0	0	0	0	0
LIN37	0	0	0	1	1
LIN52	0	0	0	0	1
LIN54	5	15	16	4	9
LIN7A	0	0	0	0	0
LIN7B	0	0	0	0	0
LIN7C	9	3	5	1	13
LIN9	0	2	1	0	1
LINGO1	0	0	0	0	0
LINGO2	0	0	0	0	0
LINGO3	0	0	0	0	0
LINGO4	0	0	0	0	0
LINS1	0	0	0	0	0
LIPA	0	0	0	0	0
LIPC	0	0	0	0	0
LIPE	0	1	0	0	0
LIPF	0	0	0	0	0
LIPG	0	0	0	0	0
LIPH	0	0	0	0	0
LIPI	0	0	0	0	0
LIPK	0	0	0	0	0
LIPM	0	0	0	0	0
LIPN	0	0	0	0	0
LIPT1	0	0	0	0	0
LIPT2	0	0	0	0	0
LITAF	0	0	0	0	0
LIX1	0	0	0	0	0
LIX1L	0	0	0	0	0
LKAAEAR1	0	0	0	0	0
LLGL1	0	2	1	1	3
LLGL2	0	3	1	1	0
LLPH	0	0	0	0	0
LMAN1	13	9	8	7	23
LMAN1L	0	0	0	0	0
LMAN2	5	2	7	3	11
LMAN2L	14	15	18	6	14
LMBR1	0	1	0	2	1
LMBR1L	2	7	2	5	1
LMBRD1	2	2	0	1	2
LMBRD2	0	0	1	1	2
LMCD1	0	0	0	0	0
LMF1	0	0	0	0	0
LMF2	0	0	0	0	0
LMLN	0	0	0	0	0
LMNA	27	36	52	31	92
LMNB1	2	4	17	6	16
LMNB2	0	1	1	0	2
LMNTD1	0	0	0	0	0
LMNTD2	0	0	0	0	0
LMO1	4	5	4	2	6
LMO2	0	0	0	0	0
LMO3	0	0	0	0	0
LMO4	24	22	16	16	29
LMO7	0	0	0	0	0
LMOD1	0	0	0	0	0
LMOD2	0	0	0	0	0
LMOD3	0	0	0	0	0
LMTK2	0	1	4	0	1
LMTK3	0	0	0	0	0
LMX1A	0	0	0	0	0
LMX1B	0	0	0	0	0
LNP1	0	0	0	0	0
LNPEP	4	11	4	7	27
LNX1	0	0	0	0	0
LNX2	0	0	0	0	0
LONP1	0	0	0	2	0
LONP2	13	6	10	6	15
LONRF1	0	0	0	0	1
LONRF2	0	0	0	0	0
LONRF3	0	0	0	0	0
LOR	0	0	0	0	0
LOX	0	0	0	0	0
LOXHD1	0	0	0	0	0
LOXL1	0	0	0	0	0
LOXL2	0	0	0	0	0
LOXL3	12	3	4	0	11
LOXL4	3	5	5	3	15
LPAR1	0	0	2	0	3
LPAR2	0	0	0	0	0
LPAR3	0	0	0	0	0
LPAR4	0	0	0	0	0
LPAR5	0	0	0	0	0
LPAR6	0	0	0	0	0
LPCAT1	0	0	0	0	0
LPCAT2	0	0	0	0	0
LPCAT3	1	1	0	0	3
LPCAT4	2	3	2	1	6
LPGAT1	2	3	6	7	16
LPIN1	1	1	0	0	2
LPIN2	1	0	1	0	1
LPIN3	0	0	0	0	0
LPL	0	0	0	0	0
LPO	0	0	0	0	0
LPP	10	1	2	1	1
LPXN	0	0	0	0	0
LRAT	0	0	0	0	0
LRBA	17	10	17	12	32
LRCH1	0	0	0	0	0
LRCH2	0	0	0	0	0
LRCH3	1	2	7	4	14
LRCH4	2	1	3	3	6
LRCOL1	0	0	0	0	0
LRFN1	0	0	0	0	0
LRFN2	0	0	0	0	0
LRFN3	0	0	0	0	0
LRFN4	4	2	5	2	14
LRFN5	0	0	0	0	0
LRG1	0	0	0	0	0
LRGUK	0	0	0	0	0
LRIF1	0	0	0	0	0
LRIG1	5	4	15	5	25
LRIG2	1	1	1	0	3
LRIG3	0	0	0	0	0
LRIT1	0	0	0	0	0
LRIT2	0	0	0	0	0
LRIT3	0	0	0	0	0
LRMP	0	0	0	0	0
LRP1	78	106	115	56	210
LRP10	4	2	2	3	9
LRP11	0	0	0	0	0
LRP12	2	0	1	1	4
LRP1B	0	0	0	0	0
LRP2	0	0	0	0	0
LRP2BP	0	0	0	0	0
LRP3	0	0	0	0	0
LRP4	2	1	1	3	2
LRP5	4	3	6	1	6
LRP6	15	20	32	17	61
LRP8	2	2	1	0	7
LRPAP1	0	0	0	0	0
LRPPRC	6	8	10	4	15
LRR1	0	0	0	0	2
LRRC1	2	0	1	0	3
LRRC10	0	0	0	0	0
LRRC10B	0	0	0	0	0
LRRC14	0	0	0	0	0
LRRC14B	0	0	0	0	0
LRRC15	0	0	0	0	0
LRRC17	0	0	0	0	0
LRRC18	0	0	0	0	0
LRRC19	0	0	0	0	0
LRRC2	0	0	0	0	0
LRRC20	0	0	0	0	0
LRRC23	0	0	0	0	0
LRRC24	0	0	0	0	0
LRRC25	0	0	0	0	0
LRRC26	0	0	0	0	0
LRRC27	0	0	0	0	0
LRRC28	1	0	0	0	0
LRRC29	0	0	0	0	2
LRRC3	0	0	0	0	0
LRRC30	0	0	0	0	0
LRRC31	0	0	0	0	0
LRRC32	0	0	0	0	0
LRRC34	0	0	0	0	0
LRRC36	0	0	0	0	0
LRRC37A	0	0	0	0	0
LRRC38	0	0	0	0	0
LRRC39	0	0	0	0	0
LRRC3B	0	0	0	0	0
LRRC3C	0	0	0	0	0
LRRC4	0	0	0	0	0
LRRC40	0	0	0	0	0
LRRC41	31	18	22	11	50
LRRC42	6	7	1	1	8
LRRC43	0	0	0	0	0
LRRC45	0	0	0	0	0
LRRC46	0	0	0	0	0
LRRC47	0	0	0	0	0
LRRC49	2	0	1	1	1
LRRC4B	0	0	0	0	0
LRRC4C	0	0	0	0	0
LRRC52	0	0	0	0	0
LRRC55	0	0	0	0	0
LRRC56	0	0	0	0	0
LRRC57	0	0	0	0	0
LRRC58	1	0	1	2	0
LRRC59	15	35	59	17	83
LRRC6	0	0	0	0	0
LRRC61	0	0	0	0	0
LRRC63	0	0	0	0	0
LRRC66	0	0	0	0	0
LRRC69	0	0	0	0	0
LRRC7	0	0	0	0	0
LRRC71	0	0	0	0	0
LRRC72	0	0	0	0	0
LRRC73	0	1	0	0	1
LRRC74A	0	0	0	0	0
LRRC74B	1	0	1	0	0
LRRC75A	3	0	3	3	5
LRRC75B	0	0	0	0	0
LRRC8A	11	10	14	11	20
LRRC8B	0	0	0	0	0
LRRC8C	1	3	2	1	3
LRRC8D	3	6	9	3	18
LRRC8E	0	0	0	0	0
LRRC9	0	0	0	0	0
LRRCC1	0	1	1	0	0
LRRD1	0	0	0	0	0
LRRFIP1	3	5	5	3	9
LRRFIP2	2	6	3	5	8
LRRIQ1	0	0	0	0	0
LRRIQ3	0	0	0	0	0
LRRIQ4	0	0	0	0	0
LRRK1	3	2	2	0	8
LRRK2	0	1	0	0	0
LRRN1	0	0	0	0	0
LRRN2	0	0	0	0	0
LRRN3	0	0	0	0	0
LRRN4	0	0	0	0	0
LRRN4CL	0	0	0	0	0
LRRTM1	0	0	0	0	0
LRRTM2	0	0	0	0	0
LRRTM3	0	0	0	0	0
LRRTM4	0	0	0	0	0
LRSAM1	1	1	2	0	2
LRTM1	0	0	0	0	0
LRTM2	0	0	0	0	0
LRWD1	0	0	0	0	0
LSAMP	0	0	0	0	0
LSG1	0	0	0	0	0
LSM1	1	0	0	0	0
LSM10	0	0	0	0	0
LSM11	0	0	1	0	2
LSM12	19	13	16	3	22
LSM14A	31	19	41	14	53
LSM14B	2	5	5	4	7
LSM2	2	2	6	2	10
LSM3	2	6	8	2	15
LSM4	6	7	12	10	20
LSM5	0	0	0	0	0
LSM6	0	0	2	0	3
LSM7	0	0	0	0	0
LSM8	0	0	0	0	0
LSMEM1	0	0	0	0	0
LSP1	0	0	0	0	0
LSR	0	0	0	0	0
LSS	0	1	0	0	0
LST1	0	0	0	0	0
LTA	0	0	0	0	0
LTA4H	7	4	2	2	6
LTB	0	0	0	0	0
LTB4R2	0	0	0	0	0
LTBP1	59	72	56	11	72
LTBP2	5	8	7	1	8
LTBP3	48	15	8	4	43
LTBP4	31	6	9	7	13
LTBR	0	0	0	0	0
LTC4S	0	0	0	0	0
LTF	0	0	0	0	0
LTK	0	0	0	0	0
LTN1	0	1	0	2	1
LTV1	0	1	1	1	1
LUC7L	32	31	21	34	34
LUC7L2	60	56	39	38	79
LUC7L3	38	84	68	70	104
LUM	0	0	0	0	0
LURAP1	0	0	0	0	0
LURAP1L	0	1	0	0	0
LUZP1	4	2	3	1	6
LUZP2	0	0	0	0	0
LUZP4	0	0	0	0	0
LVRN	0	0	0	0	0
LXN	0	0	0	0	0
LY6D	0	0	0	0	0
LY6E	0	0	0	0	0
LY6G5B	0	0	0	0	0
LY6G5C	0	0	0	0	0
LY6G6C	0	0	0	0	0
LY6G6D	0	0	0	0	0
LY6G6E	0	0	0	0	0
LY6G6F	0	0	0	0	0
LY6H	0	0	0	0	0
LY6K	0	0	0	0	0
LY6L	0	0	0	0	0
LY75	0	0	0	0	0
LY86	0	0	0	0	0
LY9	0	0	0	0	0
LY96	0	0	0	0	0
LYAR	3	2	3	8	6
LYG1	0	0	0	0	0
LYG2	0	0	0	0	0
LYL1	0	0	0	0	0
LYN	0	0	0	0	2
LYNX1	0	0	0	0	0
LYPD1	0	0	0	0	0
LYPD2	0	0	0	0	0
LYPD3	0	0	0	0	0
LYPD4	0	0	0	0	0
LYPD5	0	0	0	0	0
LYPD6	0	0	0	0	0
LYPD6B	0	0	0	0	0
LYPD8	0	0	0	0	0
LYPLA1	2	6	5	1	7
LYPLA2	14	13	19	10	30
LYPLAL1	0	0	0	0	0
LYRM1	0	0	0	0	0
LYRM2	0	0	0	0	0
LYRM4	0	0	0	0	0
LYRM7	0	0	0	0	0
LYRM9	0	1	0	0	2
LYSMD1	0	0	0	0	0
LYSMD2	0	0	0	0	0
LYSMD3	1	0	3	1	2
LYSMD4	8	0	0	0	0
LYST	2	0	0	0	1
LYVE1	0	0	0	0	0
LYZL1	0	0	0	0	0
LYZL4	0	0	0	0	0
LYZL6	0	0	0	0	0
LZIC	2	1	0	1	2
LZTFL1	0	0	0	0	1
LZTR1	0	1	2	0	1
LZTS1	0	0	0	0	0
LZTS2	34	16	36	17	42
LZTS3	2	1	1	0	5
M1AP	0	0	0	0	0
M6PR	1	4	6	3	12
MAATS1	0	0	0	0	0
MAB21L1	0	0	0	1	0
MAB21L2	0	0	0	0	0
MAB21L3	0	0	0	0	0
MACC1	0	0	1	0	0
MACF1	76	85	77	37	131
MACROD1	10	2	0	1	8
MACROD2	1	1	2	1	5
MAD1L1	1	1	1	2	3
MAD2L1	0	0	0	0	0
MAD2L1BP	0	0	0	0	0
MAD2L2	0	0	0	0	0
MADCAM1	0	0	0	0	0
MADD	0	6	5	4	7
MAEA	1	0	0	0	0
MAEL	0	0	0	0	0
MAF	2	1	2	0	3
MAF1	1	4	2	0	1
MAFA	3	0	3	0	2
MAFB	0	0	0	0	0
MAFF	3	7	3	3	5
MAFG	7	11	12	12	16
MAFK	0	0	0	0	0
MAG	0	0	0	0	0
MAGEA1	0	0	0	0	0
MAGEA10	0	0	0	0	0
MAGEA2	0	0	0	0	0
MAGEA3	0	0	0	0	0
MAGEA4	0	0	0	0	0
MAGEA6	0	0	0	0	0
MAGEA8	0	0	0	0	0
MAGEB1	0	0	0	0	0
MAGEB16	0	0	0	0	0
MAGEB18	0	0	0	0	0
MAGEB2	0	0	0	0	0
MAGEB3	0	0	0	0	0
MAGEB4	0	0	0	0	0
MAGEB5	0	0	0	0	0
MAGED1	248	101	151	101	273
MAGED2	14	10	8	5	20
MAGEE1	0	0	0	0	0
MAGEE2	0	0	0	0	0
MAGEH1	0	0	0	0	0
MAGEL2	0	0	0	0	0
MAGI1	6	30	23	14	63
MAGI2	2	0	0	0	2
MAGI3	3	12	12	3	9
MAGIX	0	0	0	0	0
MAGOH	0	0	0	1	2
MAGOHB	5	0	5	1	12
MAGT1	5	9	7	2	10
MAJIN	0	0	0	0	0
MAK	0	0	0	0	0
MAK16	7	7	18	5	20
MAL	0	0	0	0	0
MAL2	0	0	0	0	0
MALL	0	0	0	0	0
MALRD1	0	0	0	0	0
MALSU1	12	5	7	5	11
MALT1	0	0	0	1	0
MAMDC2	0	0	0	0	0
MAMDC4	0	0	0	0	0
MAML1	0	0	0	0	0
MAML2	0	2	5	2	1
MAML3	9	8	13	5	22
MAMLD1	0	0	0	0	0
MAMSTR	0	0	0	0	0
MAN1A2	2	0	3	0	6
MAN1B1	0	0	0	0	0
MAN1C1	0	2	0	0	1
MAN2A1	4	12	9	3	12
MAN2A2	6	0	3	1	6
MAN2B1	0	0	0	0	0
MAN2B2	9	5	1	1	6
MAN2C1	6	1	1	2	3
MANBA	0	0	0	0	0
MANBAL	8	15	12	8	25
MANEA	0	0	0	0	0
MANEAL	0	0	0	0	0
MANF	19	6	25	8	35
MANSC1	0	0	0	0	0
MANSC4	0	0	0	0	0
MAOA	1	3	1	1	2
MAOB	0	0	0	0	0
MAP10	0	0	0	0	0
MAP1A	1	1	2	1	1
MAP1B	4	4	13	7	11
MAP1LC3A	3	0	3	2	7
MAP1LC3B	0	0	0	0	0
MAP1S	0	0	4	2	1
MAP2	0	0	0	0	0
MAP2K1	3	3	6	1	6
MAP2K2	0	0	1	4	11
MAP2K3	0	0	0	0	0
MAP2K4	35	45	34	19	80
MAP2K5	15	3	11	9	18
MAP2K6	2	0	2	2	2
MAP2K7	7	5	6	1	17
MAP3K1	2	0	3	3	1
MAP3K10	5	6	7	5	6
MAP3K11	3	6	5	1	5
MAP3K12	14	7	8	4	14
MAP3K13	0	0	0	0	0
MAP3K14	1	0	1	0	0
MAP3K15	0	0	0	0	0
MAP3K19	0	0	0	0	0
MAP3K2	0	4	11	6	10
MAP3K3	9	9	10	1	12
MAP3K4	0	1	1	0	1
MAP3K5	1	0	0	0	2
MAP3K6	1	1	2	0	2
MAP3K7	7	10	9	7	32
MAP3K7CL	0	0	0	0	0
MAP3K8	0	1	0	0	1
MAP3K9	0	0	0	0	0
MAP4	40	45	31	12	79
MAP4K1	0	0	0	0	0
MAP4K2	1	0	0	2	4
MAP4K3	9	13	11	5	14
MAP4K4	121	150	187	119	293
MAP4K5	2	6	5	8	9
MAP6	2	0	2	0	1
MAP6D1	0	0	0	0	0
MAP7	0	0	0	0	0
MAP7D1	25	38	33	19	78
MAP7D2	0	0	0	0	0
MAP9	0	0	1	0	0
MAPK1	14	27	37	9	72
MAPK10	0	0	0	0	0
MAPK11	0	0	0	0	1
MAPK12	0	1	0	0	1
MAPK13	2	1	0	1	2
MAPK14	14	19	17	11	32
MAPK15	0	0	0	0	0
MAPK1IP1L	0	0	0	0	0
MAPK3	17	5	15	9	28
MAPK4	0	0	0	0	0
MAPK6	14	51	45	40	118
MAPK7	4	4	6	5	6
MAPK8	7	6	14	5	13
MAPK8IP1	10	1	2	1	4
MAPK8IP2	0	0	0	0	0
MAPK8IP3	10	16	6	23	38
MAPK9	4	8	9	3	6
MAPKAP1	29	33	38	28	52
MAPKAPK2	0	0	1	0	0
MAPKAPK3	0	1	1	0	1
MAPKAPK5	6	7	10	6	8
MAPKBP1	0	5	3	4	3
MAPRE1	10	7	19	4	19
MAPRE2	12	3	10	7	14
MAPRE3	11	20	12	7	27
MAPT	0	0	1	0	0
MARCKS	0	0	0	0	0
MARCKSL1	18	24	24	6	27
MARCO	0	0	0	0	0
MARK1	0	0	0	0	0
MARK2	13	17	23	15	39
MARK3	16	22	20	15	40
MARK4	31	11	26	15	44
MARS	1	6	9	7	11
MARS2	0	0	0	0	0
MARVELD1	6	3	3	1	8
MARVELD2	0	0	0	0	0
MARVELD3	0	0	0	0	0
MAS1	0	0	0	0	0
MASP1	4	7	6	2	11
MASP2	0	0	0	0	0
MAST1	0	1	0	1	1
MAST2	14	16	17	13	31
MAST3	7	3	4	1	4
MAST4	2	8	4	1	11
MASTL	1	3	4	0	1
MAT1A	0	0	0	0	0
MAT2A	89	109	147	103	341
MAT2B	1	2	0	0	4
MATK	0	0	0	0	0
MATN1	0	0	0	0	0
MATN2	2	6	2	2	4
MATN3	0	0	0	0	0
MATN4	0	0	0	0	0
MATR3	81	118	131	99	405
MAU2	8	6	6	9	23
MAVS	0	0	0	0	0
MAX	24	24	48	27	65
MAZ	101	83	103	104	212
MB	0	0	0	0	0
MB21D1	0	0	0	0	0
MB21D2	0	0	0	1	2
MBD1	3	1	4	3	6
MBD2	19	22	25	20	54
MBD3	8	12	17	12	28
MBD3L1	0	0	0	0	0
MBD3L2	0	0	0	0	0
MBD4	0	0	0	0	0
MBD5	43	37	44	33	106
MBD6	41	42	53	58	76
MBIP	0	2	3	2	8
MBL2	0	0	0	0	0
MBLAC1	0	0	0	0	0
MBLAC2	1	0	3	1	4
MBNL1	115	97	130	82	214
MBNL2	50	82	83	43	162
MBNL3	0	0	0	0	0
MBOAT1	0	0	0	0	0
MBOAT2	0	0	0	0	0
MBOAT4	0	0	0	0	0
MBOAT7	2	0	5	3	4
MBP	5	4	7	2	8
MBTD1	12	9	13	8	27
MBTPS1	32	14	20	23	39
MBTPS2	4	10	9	9	18
MC1R	0	0	0	0	0
MC2R	0	0	0	0	0
MC3R	0	0	0	0	0
MC4R	0	0	0	0	0
MC5R	0	0	0	0	0
MCAM	1	1	0	0	0
MCAT	0	0	0	0	0
MCC	0	0	0	0	0
MCCC1	3	4	6	1	9
MCCC2	2	1	0	1	0
MCEE	1	1	1	0	0
MCEMP1	0	0	0	0	0
MCF2	0	0	0	0	0
MCF2L	1	0	0	0	0
MCFD2	0	0	0	0	0
MCHR1	0	0	0	0	0
MCIDAS	0	0	0	0	0
MCL1	0	0	0	0	0
MCM10	0	0	0	0	0
MCM2	0	3	2	0	4
MCM3	2	6	8	3	14
MCM3AP	0	1	0	0	1
MCM4	10	18	35	9	62
MCM5	0	0	0	0	0
MCM6	3	9	12	4	7
MCM7	3	6	9	2	5
MCM8	0	0	0	0	0
MCM9	1	0	0	0	2
MCMBP	1	0	0	0	2
MCMDC2	0	0	0	0	0
MCOLN1	0	0	0	0	0
MCOLN2	0	0	0	0	0
MCOLN3	0	0	0	0	0
MCPH1	0	0	0	0	0
MCRS1	8	5	10	8	17
MCTP1	0	0	0	0	0
MCTP2	0	0	0	0	0
MCTS1	6	7	10	4	16
MCU	1	4	5	1	8
MCUR1	0	0	1	0	0
MDC1	0	0	0	0	0
MDFI	0	0	0	0	0
MDFIC	0	0	0	0	0
MDGA1	1	0	0	0	0
MDGA2	0	0	0	0	0
MDH1	51	35	44	18	90
MDH1B	0	0	0	0	0
MDH2	0	0	0	0	0
MDK	0	0	0	0	0
MDM1	0	0	0	0	1
MDM2	0	0	0	0	0
MDM4	0	1	0	0	0
MDN1	0	2	6	2	3
MDP1	0	0	0	0	0
ME1	0	0	0	0	0
ME2	2	7	14	3	19
ME3	1	2	0	0	0
MEA1	37	32	27	19	34
MEAF6	1	0	2	0	1
MECOM	14	7	14	6	7
MECP2	23	13	23	11	42
MECR	0	0	0	0	0
MED1	23	25	23	20	44
MED10	6	4	3	2	23
MED11	0	0	0	0	0
MED12	79	68	60	53	139
MED12L	0	0	0	0	0
MED13	38	51	51	36	101
MED13L	23	19	16	22	55
MED14	12	9	15	6	18
MED15	4	7	5	4	9
MED16	0	0	1	0	0
MED17	0	1	0	0	0
MED18	1	0	0	0	0
MED19	2	3	3	6	5
MED20	1	4	5	4	3
MED21	5	7	15	9	22
MED22	1	3	0	3	7
MED23	0	2	1	3	0
MED24	9	13	27	8	46
MED25	21	5	9	12	17
MED26	1	0	1	0	0
MED27	0	0	0	0	0
MED28	20	11	15	9	30
MED29	0	0	0	0	0
MED30	4	1	5	2	5
MED31	7	9	9	1	23
MED4	1	0	0	0	0
MED6	1	1	1	2	6
MED7	0	0	1	2	2
MED8	5	1	2	4	9
MED9	0	0	0	0	0
MEDAG	0	0	0	0	0
MEF2A	26	24	36	45	102
MEF2B	0	0	0	0	0
MEF2C	0	0	0	0	0
MEF2D	24	14	36	25	52
MEFV	0	0	0	0	0
MEGF10	0	0	0	0	0
MEGF11	0	0	0	0	0
MEGF6	0	0	0	0	0
MEGF8	16	22	17	10	48
MEGF9	0	1	0	0	0
MEI1	0	0	0	0	0
MEI4	0	0	0	0	0
MEIG1	0	0	0	0	0
MEIKIN	0	0	0	0	0
MEIOB	0	0	0	0	0
MEIOC	0	0	0	0	0
MEIS1	10	4	7	4	11
MEIS2	19	13	24	17	43
MEIS3	3	2	0	1	0
MELK	0	0	0	0	0
MEMO1	66	83	84	41	96
MEN1	13	10	16	6	23
MEOX1	0	0	0	0	0
MEOX2	0	0	0	0	0
MEP1A	0	0	0	0	0
